OBJECTID,Shape_Length,bearing,bearing_corrected,x_coord,y_coord
1,5793.470708,72.73005865,72.73005865,-567364.4735,1679745.93
2,4456.935167,73.19861525,73.19861525,-567929.2472,1678995.489
3,4825.682892,73.61878113,73.61878113,-568343.8343,1678604.306
4,1044.998994,74.97965198,74.97965198,-566712.7653,1678075.976
5,4513.048901,75.27752474,75.27752474,-568500.4447,1677884.849
6,2958.586886,75.14567194,75.14567194,-567400.3178,1677509.768
7,1597.763131,74.6074975,74.6074975,-563841.2754,1678308.322
8,3704.549323,255.454194,75.45419402,-563024.2206,1677324.743
9,4620.496215,255.3936917,75.39369171,-563216.5041,1676639.075
10,5048.579784,255.0769413,75.07694131,-563045.3761,1676013.939
11,2840.209961,255.8170872,75.81708722,-563255.1749,1675703.352
12,4050.757265,256.0519042,76.05190418,-563439.1932,1675118.965
13,4452.713601,257.4235434,77.42354335,-563286.9509,1674803.993
14,1079.32852,255.4587017,75.45870167,-564925.2145,1678460.843
15,1276.198515,73.17644907,73.17644907,-566303.6598,1677852.409
16,3730.592392,254.9935072,74.99350725,-559613.6947,1674149.796
17,1116.618149,253.5903716,73.59037164,-561578.6688,1673845.012
18,4855.514033,254.6974566,74.69745655,-558845.3318,1674589.714
19,4104.651303,255.0867202,75.08672017,-559685.8117,1674352.465
20,4113.028488,75.62706688,75.62706688,-563580.8577,1674246.473
21,1909.627618,76.84820761,76.84820761,-567438.5176,1672409.824
22,8475.93826,76.29740128,76.29740128,-568561.3844,1674414.411
23,5902.000796,256.0835442,76.08354422,-560758.6591,1674210.051
24,5108.610536,256.0727915,76.07279145,-564980.7154,1672954.855
25,1790.983166,75.68696806,75.68696806,-566917.5536,1672841.99
26,1524.391975,75.92940311,75.92940311,-567084.9987,1672601.208
27,5706.238579,75.88126249,75.88126249,-566452.9043,1674391.478
28,6315.582105,76.66228616,76.66228616,-568659.8815,1674342.401
29,5046.046038,77.38830373,77.38830373,-567926.933,1674606.281
30,1406.132643,75.86218197,75.86218197,-567787.7112,1671245.631
31,1481.383673,75.52065103,75.52065103,-567171.5048,1672157.436
32,4445.54854,85.83308662,85.83308662,-578715.9632,1665229.686
33,3218.495077,84.50016303,84.50016303,-577113.3727,1665631.796
34,2505.829645,86.0580276,86.0580276,-577192.6843,1665452.401
35,4489.112359,87.45973416,87.45973416,-578872.7449,1664630.695
36,3293.166276,86.7914858,86.7914858,-578472.3756,1664323.898
38,1663.04989,85.13711235,85.13711235,-576637.6746,1666208.19
39,1978.078662,85.34424394,85.34424394,-576956.2056,1666063.362
40,2269.711023,84.56930243,84.56930243,-576918.948,1665747.309
41,2512.206976,98.16440083,98.16440083,-580674.7294,1657436.204
42,2784.971321,97.80379224,97.80379224,-580710.4693,1657777.103
43,2391.855683,98.18005746,98.18005746,-580258.5132,1658195.347
44,1776.239987,96.3261358,96.3261358,-579498.9037,1658401.811
45,2907.760734,87.15110794,87.15110794,-578612.8068,1660709.473
46,1636.487205,86.54338045,86.54338045,-576998.4549,1661227.66
47,2231.308438,87.53740974,87.53740974,-577855.938,1661386.653
48,748.9232208,90.1572546,90.1572546,-576938.1849,1661620.127
49,1992.375694,87.92820493,87.92820493,-577427.032,1661847.709
50,1483.053835,117.513653,117.513653,-571516.6397,1660890.975
51,4337.199361,116.1835164,116.1835164,-570544.6019,1660915.278
52,888.0783545,295.7767044,115.7767044,-566789.8072,1659215.496
53,1438.837818,292.1801478,112.1801478,-567642.2352,1659582.419
54,2313.587794,298.8417826,118.8417826,-569046.6324,1660642.184
55,1658.365208,298.4803298,118.4803298,-569758.8092,1661096.662
56,2164.637463,115.9734541,115.9734541,-570062.9083,1660784.277
57,1474.790996,116.1342411,116.1342411,-571657.4477,1660695.287
58,1631.949723,293.0852695,113.0852695,-562534.0477,1662891.151
59,1259.493956,292.4981796,112.4981796,-562623.9799,1663077.696
60,951.6811366,295.0947687,115.0947687,-561059.4178,1663976.91
61,1579.659049,293.5551115,113.5551115,-562763.5888,1662690.709
62,3170.751901,86.19683793,86.19683793,-576286.5967,1670641.565
63,1238.447289,83.97180835,83.97180835,-576214.7367,1670406.757
64,2033.970948,256.5009933,76.50099332,-565046.3967,1673128.753
65,8013.153344,116.7147738,116.7147738,-578730.2238,1649595.64
66,9174.182865,291.8439,111.8439,-570755.043,1648285.297
67,7000.713768,114.7927986,114.7927986,-578689.0692,1648813.144
68,4436.125909,112.9067679,112.9067679,-576095.9834,1648560.435
69,3272.072602,119.4873721,119.4873721,-577398.0293,1650196.62
70,4680.186395,294.6350231,114.6350231,-571943.2605,1649528.01
71,5588.467652,289.7684604,109.7684604,-571592.4396,1646638.603
72,3746.735515,289.7873914,109.7873914,-572722.0727,1647146.091
73,3303.673195,289.8113976,109.8113976,-572591.7996,1647630.868
74,1804.33827,112.2564609,112.2564609,-575841.3042,1647750.821
75,2520.625411,289.2414886,109.2414886,-572238.9659,1646016.48
76,6565.635017,290.949669,110.949669,-572690.5108,1646605.754
77,4139.572374,116.7273011,116.7273011,-579918.3129,1646967.86
78,3873.519966,288.6974953,108.6974953,-572795.6886,1645826.344
79,5456.572776,287.216074,107.216074,-572487.1358,1644544.863
80,1569.552674,283.4455069,103.4455069,-572715.8631,1643573.944
81,2158.657187,283.9877224,103.9877224,-573276.5685,1644110.625
82,5811.980599,287.4945325,107.4945325,-572213.999,1644930.929
83,3226.668378,287.8097098,107.8097098,-572944.6761,1645373.122
84,7637.14121,292.7379651,112.7379651,-573289.6301,1646058.054
85,3232.569043,294.5312737,114.5312737,-577546.0319,1645643.754
86,2626.507557,294.0391299,114.0391299,-578308.0996,1645441.92
87,2355.063239,285.224234,105.224234,-575473.8673,1640238.897
88,1673.929924,118.1883738,118.1883738,-579833.0058,1640869.6
89,3564.768717,283.8285678,103.8285678,-574655.6562,1639810.028
90,2394.245763,281.9068675,101.9068675,-575157.606,1638937.108
91,3302.352675,285.7742404,105.7742404,-575327.9203,1639528.219
92,2249.312625,284.8000851,104.8000851,-576118.6806,1639735.149
93,5262.257609,287.8216692,107.8216692,-574312.6294,1640669.955
94,5466.463498,286.9217518,106.9217518,-573933.5869,1641105.298
95,4641.486264,287.1883118,107.1883118,-574766.9151,1641032.41
96,2320.117199,284.555916,104.555916,-574617.7991,1641014.348
97,3247.456815,289.3454667,109.3454667,-575879.9322,1641932.41
98,1223.283876,290.5222414,110.5222414,-576465.3475,1641690.68
99,1205.748799,289.490381,109.490381,-577858.9957,1642060.729
100,1664.443341,282.6492116,102.6492116,-574912.9049,1637765.421
101,1726.369547,280.9754437,100.9754437,-575041.3794,1638651.124
102,1819.712548,296.0386085,116.0386085,-577742.9832,1638429.891
103,1880.621288,300.6406488,120.6406488,-577593.5246,1638767.522
104,1685.019528,295.6142258,115.6142258,-577941.7761,1637338.822
105,1685.952045,114.2668974,114.2668974,-582636.1473,1644965.109
106,1760.446807,115.3850278,115.3850278,-582393.8873,1644332.565
107,1235.015877,112.9758031,112.9758031,-581619.4004,1643798.882
108,1839.797521,97.87829901,97.87829901,-588366.8073,1637259.121
109,2405.52323,273.6451534,93.64515341,-585508.5486,1637713.777
110,1903.363559,272.7988315,92.79883149,-584741.21,1637392.461
111,3505.062456,276.2482945,96.24829451,-585405.6868,1636434.394
112,2331.29204,120.7349529,120.7349529,-589125.2931,1638740.781
113,1725.060734,97.85331637,97.85331637,-587808.6457,1637996.27
114,1502.061289,98.3430086,98.3430086,-588433.9029,1637494.686
115,1079.957857,98.42543094,98.42543094,-588435.7973,1637165.055
116,1177.716812,272.373898,92.37389803,-585420.7194,1637003.537
117,1597.958382,276.5091077,96.50910771,-586469.0776,1636857.683
118,3083.273901,274.6549584,94.65495837,-584843.6365,1635654.613
119,3080.940417,274.9298657,94.92986569,-584689.9945,1635426.605
120,1230.927578,269.8922254,89.8922254,-585063.1101,1635861.343
121,948.4242746,275.2155332,95.21553315,-585298.2128,1635715.656
122,1551.9963,96.98124048,96.98124048,-587819.8786,1636680.79
123,3287.422195,283.6095631,103.6095631,-577424.3237,1634846.224
124,3320.247102,282.6834306,102.6834306,-577058.3,1634293.827
125,3324.232741,281.5725228,101.5725228,-576710.5625,1633847.785
126,2634.588494,282.3565736,102.3565736,-576832.6132,1633370.139
127,2904.314727,288.6005907,108.6005907,-581467.5008,1635080.412
128,2210.031867,289.9026675,109.9026675,-581761.4503,1635284.515
129,1037.603023,109.7063194,109.7063194,-585094.9344,1634788.218
